Category;Metric;Value
Cardinalities;Number of Rows;1,000.0000
Cardinalities;# Null Values;0.0000
Cardinalities;% Null Values;0.0000
Cardinalities;Cardinality;200.0000
Cardinalities;Uniqueness;20.0000
Data type info;Basic type;Numeric
Data type info;Data type;Double
Data type info;Minimum;-5.5113
Data type info;Maximum;4.4424
Data type info;Average;0.0275
Data type info;Median;0.0000
Data type info;Digits;1.0000
Data type info;# Decimals;14.0000
Data type info;Standard Deviation;1.1805
Data type info;Mean Absolute Deviation;0.0000
Histogram;# Classes;11.0000
Histogram;Class range;0.9049
Histogram;Values;[1, 3, 8, 44, 140, 0, 600, 122, 58, 22, 2]
Dependencies;isCandidateKey;false
