Metric;acceleration breaking or forward;engine speed;acceleration up or down;device voltage;engine rpm;engine temperature
Num rows (size);5.000,0000;5.000,0000;5.000,0000;5.000,0000;5.000,0000;1.841,0000
# Null values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
% Null values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinality;396,0000;137,0000;299,0000;99,0000;2.283,0000;91,0000
Uniqueness;7,9200;2,7400;5,9800;1,9800;45,6600;4,9430
Minimum;-7,4531;0,0000;8,0513;11,3553;0,0000;5,0000
Maximum;4,4424;140,0000;14,1608;14,9331;4.306,0000;97,0000
Average;0,0685;35,0000;10,1715;13,0430;1.445,2631;67,0000
Median;0,0000;31,0000;10,1597;12,8222;1.515,5000;76,0000
# Digits;1,0000;3,0000;2,0000;2,0000;4,0000;2,0000
# Decimals;14,0000;0,0000;14,0000;7,0000;1,0000;0,0000
# Classes;14,0000;14,0000;14,0000;14,0000;14,0000;12,0000
Class range;0,8497;10,0000;0,4364;0,2556;307,5714;7,6667
Values;440-2950-7-0-768-0-5-17-100-281-1-348-2-81-;507-26-1527-160-501-271-376-117-28-403-545-251-68-220-;311-2227-601-15-8-1-8-26-0-1652-1-66-3-81-;199-79-43-167-170-8-135-195-364-195-2341-749-150-205-;226-1022-1-1-67-611-18-5-11-0-940-1-641-1456-;7-104-104-395-90-46-149-73-154-37-129-553-
is key candidate;false;false;false;false;false;false
