Category;Metric;region;country;item type;sales channel;order priority;order date;order id;ship date;units sold;unit price;unit cost;total revenue;total cost;total profit
Cardinalities;Number of Rows;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;7,0000;185,0000;12,0000;2,0000;4,0000;2 333,0000;5 000,0000;2 336,0000;3 922,0000;12,0000;12,0000;4 917,0000;4 917,0000;4 917,0000
Cardinalities;Uniqueness;0,1400;3,7000;0,2400;0,0400;0,0800;46,6600;100,0000;46,7200;78,4400;0,2400;0,2400;98,3400;98,3400;98,3400
Data type info;Basic type;String;String;String;String;String;String;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Data type;String;String;String;String;String;String;Integer;String;Integer;Double;Double;Double;Double;Double
Data type info;Minimum;4,0000;4,0000;4,0000;6,0000;1,0000;8,0000;100 110 614,0000;8,0000;3,0000;9,3300;6,9200;327,8400;107,5200;156,6000
Data type info;Maximum;33,0000;32,0000;15,0000;7,0000;1,0000;10,0000;999 916 636,0000;10,0000;9 999,0000;668,2700;524,9600;6 677 353,8400;5 241 200,6400;1 737 656,7800
Data type info;Average;15,0000;8,0000;8,0000;6,0000;1,0000;8,0000;-356 090,0000;8,0000;4 910,0000;265,7062;187,4532;1 315 196,4828;929 438,6057;385 757,8771
Data type info;Median;18,0000;7,0000;9,0000;6,0000;1,0000;9,0000;537 095 677,0000;9,0000;4 830,0000;154,0600;97,4400;755 999,0400;445 486,4400;274 299,8500
Data type info;Digits;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0000;0,0000;4,0000;3,0000;3,0000;7,0000;7,0000;7,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;2,0000;2,0000;2,0000;2,0000
Histogram;# Classes;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000;14,0000
Histogram;Class range;2,0714;2,0000;0,7857;0,0714;0,0000;0,1429;64 271 858,7143;0,1429;714,0000;47,0671;37,0029;476 930,4286;374 363,7943;124 107,1557
Histogram;Values;[1335, 0, 0, 394, 0, 0, 669, 1993, 0, 513, 0, 0, 0, 96];[112, 868, 782, 77, 39, 805, 78, 45, 0, 83, 58, 247, 1806, 0];[0, 0, 425, 0, 0, 0, 0, 426, 0, 1604, 413, 1265, 410, 457];[0, 2501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2499, 0, 0];[5000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 801, 0, 3086, 0, 1113, 0, 0];[354, 339, 369, 330, 329, 335, 359, 363, 388, 388, 340, 388, 358, 360];[1114, 0, 797, 0, 0, 0, 3089, 0, 0, 0, 0, 0, 0, 0];[350, 349, 342, 328, 368, 340, 368, 390, 345, 388, 348, 351, 382, 351];[422, 0, 457, 799, 413, 852, 0, 0, 404, 0, 840, 410, 403, 0];[0, 457, 404, 403, 1274, 0, 0, 1212, 840, 0, 0, 0, 0, 410];[58, 65, 143, 366, 1862, 961, 272, 47, 642, 70, 167, 61, 147, 139];[59, 77, 50, 50, 86, 2278, 108, 171, 96, 279, 149, 583, 166, 848];[278, 154, 78, 90, 530, 461, 50, 209, 91, 1508, 856, 594, 66, 35]
Dependencies;isCandidateKey;false;false;false;false;false;false;false;false;false;false;false;false;false;false
