Category;Metric;jurisdiction name;count participants;count female;percent female;count male;percent male;count gender unknown;percent gender unknown;count gender total;percent gender total;count pacific islander;percent pacific islander;count hispanic latino;percent hispanic latino;count american indian;percent american indian;count asian non hispanic;percent asian non hispanic;count white non hispanic;percent white non hispanic;count black non hispanic;percent black non hispanic;count other ethnicity;percent other ethnicity;count ethnicity unknown;percent ethnicity unknown;count ethnicity total;percent ethnicity total;count permanent resident alien;percent permanent resident alien;count us citizen;percent us citizen;count other citizen status;percent other citizen status;count citizen status unknown;percent citizen status unknown;count citizen status total;percent citizen status total;count receives public assistance;percent receives public assistance;count nreceives public assistance;percent nreceives public assistance;count public assistance unknown;percent public assistance unknown;count public assistance total;percent public assistance total
Cardinalities;Number of Rows;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Cardinalities;Cardinality;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Uniqueness;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Data type info;Basic type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Data type;Integer;Integer;Integer;Double;Integer;Double;Integer;Integer;Integer;Integer;Integer;Double;Integer;Double;Integer;Double;Integer;Double;Integer;Double;Integer;Double;Integer;Double;Integer;Double;Integer;Integer;Integer;Double;Integer;Double;Integer;Double;Integer;Integer;Integer;Integer;Integer;Double;Integer;Double;Integer;Integer;Integer;Integer
Data type info;Minimum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Maximum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Average;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Median;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Digits;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Data type info;# Decimals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Histogram;# Classes;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000
Histogram;Class range;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Histogram;Values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dependencies;isCandidateKey;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
