Category;Metric;stage name;stagecost;reldepth;stageclassification;avgdemand;stddevdemand;maxservicetime;servicelevel;stagetime;stddev stagetime;stagetime_1;stagetime_%_1;stagetime_2;stagetime_%_2;stagetime_3;stagetime_%_3;stagetime_4;stagetime_%_4;stagetime_5;stagetime_%_5;stagetime_6;stagetime_%_6;xposition;yposition
Cardinalities;Number of Rows;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Cardinalities;Cardinality;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Uniqueness;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Data type info;Basic type;String;String;Numeric;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;String;Numeric;Numeric;Numeric;String;Numeric;String;Numeric;String;Numeric;String;Numeric;String;Numeric
Data type info;Data type;String;String;Double;Integer;String;Integer;Integer;Integer;Integer;Integer;String;Integer;Integer;Integer;String;Integer;String;Integer;String;Integer;String;Integer;String;Integer
Data type info;Minimum;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Maximum;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Average;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Median;;;;;;;;;;;;;;;;;;;;;;;;
Data type info;Digits;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Data type info;# Decimals;;;;;;;;;;;;;;;;;;;;;;;;
Histogram;# Classes;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000;-2 147 483 648,0000
Histogram;Class range;;;;;;;;;;;;;;;;;;;;;;;;
Histogram;Values;;;;;;;;;;;;;;;;;;;;;;;;
Dependencies;isCandidateKey;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
