Category;Metric;year of birth;gender;ethnicity;child's first name;count;rank
Cardinalities;# Rows;19 418,0000;19 418,0000;19 418,0000;19 418,0000;19 418,0000;19 418,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;6,0000;2,0000;4,0000;10,0000;280,0000;102,0000
Cardinalities;Uniqueness;0,0309;0,0103;0,0206;0,0515;1,4420;0,5253
Data type info;Data type;Numeric;String;String;String;Numeric;Numeric
Data type info;Minimum;2 011,0000;4,0000;8,0000;2,0000;10,0000;1,0000
Data type info;Maximum;2 016,0000;6,0000;26,0000;11,0000;426,0000;102,0000
Data type info;Average;2 013,0000;5,0000;15,0000;5,0000;33,0000;57,0000
Data type info;Median;2 013,0000;6,0000;18,0000;6,0000;20,0000;59,0000
Data type info;# Digits;4,0000;0,0000;0,0000;0,0000;3,0000;3,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Histogram;# Classes;16,0000;16,0000;16,0000;16,0000;16,0000;16,0000
Histogram;Class range;0,3125;0,1250;1,1250;0,5625;26,0000;6,3125
Histogram;Values;[0, 0, 3900, 0, 2045, 0, 3790, 0, 0, 0, 3855, 0, 0, 3765, 2063, 0];[0, 0, 0, 0, 0, 0, 9485, 9933, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 5714, 0, 0, 8299, 0, 0, 2712, 2693, 0, 0, 0, 0, 0, 0];[2530, 48, 0, 0, 3277, 5149, 5476, 96, 738, 0, 5, 0, 0, 0, 1425, 674];[172, 1, 18, 40, 24, 337, 73, 4, 913, 161, 505, 14544, 7, 1, 2542, 76];[1079, 1442, 616, 528, 949, 975, 1409, 1563, 1119, 501, 1775, 2364, 1280, 1057, 893, 1868]
Dependencies;isCandidateKey;false;false;false;false;false;false
