Category;Metric;stage name;stagecost;reldepth;stageclassification;avgdemand;stddevdemand;maxservicetime;servicelevel;stagetime;stddev stagetime;stagetime_1;stagetime_%_1;stagetime_2;stagetime_%_2;stagetime_3;stagetime_%_3;stagetime_4;stagetime_%_4;stagetime_5;stagetime_%_5;stagetime_6;stagetime_%_6;xposition;yposition
Cardinalities;# Rows;40,0000;40,0000;40,0000;40,0000;40,0000;2,0000;2,0000;2,0000;2,0000;40,0000;40,0000;28,0000;28,0000;27,0000;26,0000;23,0000;23,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;38,0000;38,0000;38,0000;38,0000;0,0000;0,0000;12,0000;12,0000;13,0000;14,0000;17,0000;17,0000;38,0000;38,0000;38,0000;38,0000;38,0000;38,0000;38,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;19,0000;19,0000;19,0000;19,0000;0,0000;0,0000;0,4286;0,4286;0,4815;0,5385;0,7391;0,7391;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000
Cardinalities;Cardinality;3,0000;2,0000;16,0000;8,0000;3,0000;1,0000;1,0000;2,0000;1,0000;13,0000;3,0000;6,0000;7,0000;11,0000;3,0000;8,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000
Cardinalities;Uniqueness;7,5000;5,0000;40,0000;20,0000;7,5000;50,0000;50,0000;100,0000;50,0000;32,5000;7,5000;21,4286;25,0000;40,7407;11,5385;34,7826;4,3478;50,0000;50,0000;50,0000;50,0000;50,0000;50,0000;50,0000
Data type info;Data type;String;String;Numeric;Numeric;String;String;String;String;String;Numeric;String;Numeric;Numeric;Numeric;String;Numeric;String;String;String;String;String;String;String;String
Data type info;Minimum;9,0000;2,0000;0,0000;0,0000;4,0000;3,0000;2,0000;3,0000;2,0000;1,0000;1,0000;0,0000;0,0000;0,0000;2,0000;2,0000;3,0000;1,0000;3,0000;1,0000;3,0000;1,0000;2,0000;1,0000
Data type info;Maximum;11,0000;3,0000;96,0000;7,0000;6,0000;3,0000;2,0000;4,0000;2,0000;42,0000;3,0000;95,0000;86,0000;40,0000;4,0000;45,0000;3,0000;1,0000;3,0000;1,0000;3,0000;1,0000;2,0000;1,0000
Data type info;Average;9,0000;2,0000;31,8750;4,0000;4,0000;3,0000;2,0000;3,0000;2,0000;14,0000;1,0000;4,0000;41,0000;14,0000;3,0000;17,0000;3,0000;1,0000;3,0000;1,0000;3,0000;1,0000;2,0000;1,0000
Data type info;Median;9,0000;2,0000;34,0000;5,0000;4,0000;3,0000;2,0000;4,0000;2,0000;9,0000;2,0000;0,0000;50,0000;9,0000;3,0000;10,0000;3,0000;1,0000;3,0000;1,0000;3,0000;1,0000;2,0000;1,0000
Data type info;# Digits;0,0000;0,0000;2,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;0,0000;2,0000;2,0000;2,0000;0,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Data type info;# Decimals;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Histogram;# Classes;7,0000;7,0000;7,0000;7,0000;7,0000;2,0000;2,0000;2,0000;2,0000;7,0000;7,0000;6,0000;6,0000;6,0000;6,0000;6,0000;6,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000
Histogram;Class range;0,2857;0,1429;13,7143;1,0000;0,2857;0,0000;0,0000;0,5000;0,0000;5,8571;0,2857;15,8333;14,3333;6,6667;0,3333;7,1667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Histogram;Values;[0, 0, 2, 0, 22, 0, 16];[0, 3, 0, 0, 0, 37, 0];[2, 3, 2, 15, 4, 3, 11];[2, 2, 2, 18, 2, 2, 12];[0, 0, 0, 22, 0, 16, 2];[2, 0];[0, 2];[1, 1];[2, 0];[17, 0, 5, 0, 9, 8, 1];[0, 0, 0, 10, 0, 29, 1];[1, 0, 0, 0, 0, 27];[19, 0, 6, 1, 0, 2];[0, 7, 4, 2, 9, 5];[3, 0, 0, 2, 21, 0];[0, 1, 4, 5, 4, 9];[0, 0, 0, 23, 0, 0];[0, 2];[2, 0];[0, 2];[0, 2];[2, 0];[0, 2];[2, 0]
Dependencies;isCandidateKey;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
