Category;Metric;region;country;item type;sales channel;order priority;order date;order id;ship date;units sold;unit price;unit cost;total revenue;total cost;total profit
Cardinalities;Num rows;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000;1 500 000,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;7,0000;22,0000;7,0000;2,0000;1,0000;3,0000;1 282 048,0000;3,0000;10 000,0000;12,0000;12,0000;119 952,0000;119 785,0000;119 830,0000
Cardinalities;Uniqueness;0,0005;0,0015;0,0005;0,0001;0,0001;0,0002;85,4699;0,0002;0,6667;0,0008;0,0008;7,9968;7,9857;7,9887
Data type info;Data type;String;String;String;String;String;String;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Minimum;4,0000;4,0000;4,0000;6,0000;1,0000;8,0000;100 001 180,0000;8,0000;1,0000;9,3300;6,9200;9,3300;6,9200;2,4100
Data type info;Maximum;33,0000;32,0000;15,0000;7,0000;1,0000;10,0000;999 999 892,0000;10,0000;10 000,0000;668,2700;524,9600;6 682 700,0000;5 249 600,0000;1 738 700,0000
Data type info;Average;15,0000;8,0000;8,0000;6,0000;1,0000;8,0000;550 068 059,0000;8,0000;4 999,0000;266,0532;187,5496;1 329 887,9339;937 487,9976;392 399,9363
Data type info;Median;18,0000;7,0000;9,0000;7,0000;1,0000;9,0000;549 792 182,0000;9,0000;4 998,0000;154,0600;97,4400;785 329,2600;467 357,4900;281 370,4100
Data type info;# Digits;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0000;0,0000;5,0000;3,0000;3,0000;7,0000;7,0000;7,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;2,0000;2,0000;2,0000;2,0000
Histogram;Number of classes;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000;22,0000
Histogram;Class range;1,3182;1,2727;0,5000;0,0455;0,0000;0,0909;40 909 032,3636;0,0909;454,5000;29,9518;23,5473;303 758,6668;238 617,8673;79 031,7086
Histogram;Values;[0, 0, 121405, 0, 186391, 0, 0, 0, 218882, 0, 389079, 0, 0, 0, 32528, 0, 0, 389607, 0, 0, 162108, 0];[16094, 16137, 97567, 16204, 283933, 137328, 16217, 16162, 259718, 251377, 8047, 243251, 16271, 48672, 0, 0, 0, 8041, 40579, 0, 8147, 16255];[0, 0, 124853, 0, 0, 0, 500075, 0, 0, 124868, 0, 0, 375353, 0, 124831, 0, 125143, 0, 0, 0, 0, 124877];[0, 0, 0, 0, 0, 750039, 0, 0, 0, 0, 0, 0, 0, 0, 749961, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[911760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 341447, 0, 0, 0, 0, 0, 0, 246793, 0];[67819, 68402, 67797, 68063, 68359, 68604, 67971, 68747, 67765, 68073, 68398, 68285, 67950, 67985, 68423, 67963, 68314, 68706, 68257, 68070, 67907, 68142];[0, 246228, 0, 0, 0, 0, 0, 0, 912696, 0, 0, 0, 0, 0, 0, 0, 0, 341076, 0, 0, 0, 0];[67927, 68292, 68214, 68315, 68067, 68407, 68079, 68270, 68206, 68030, 68086, 68180, 68291, 68046, 68335, 68598, 68306, 67906, 68330, 67988, 67849, 68278];[125022, 0, 249803, 249968, 125143, 124853, 124877, 0, 125072, 0, 124906, 0, 0, 0, 0, 0, 0, 125310, 0, 0, 125046, 0];[125310, 0, 249968, 0, 0, 124877, 0, 0, 0, 0, 0, 0, 249803, 0, 125143, 0, 249875, 125046, 0, 125072, 124906, 0];[8266, 11408, 238179, 44154, 28166, 179085, 35140, 28995, 11362, 29176, 11442, 11532, 398430, 64655, 29254, 11486, 58750, 111911, 11607, 132837, 14942, 29223];[11554, 11536, 11636, 5979, 31018, 31248, 30949, 43805, 20202, 75395, 11631, 264402, 19790, 19932, 132421, 19636, 493411, 31305, 49953, 14011, 158671, 11515];[112530, 206560, 19468, 11460, 11678, 105372, 11477, 144704, 31876, 44976, 19183, 11678, 41088, 104688, 20680, 332742, 104902, 54432, 5661, 19441, 11650, 73754]
Dependencies;isCandidateKey;false;false;false;false;false;false;false;false;false;false;false;false;false;false
