Category;Metric;type;days for shipping (real);days for shipment (scheduled);benefit per order;sales per customer;delivery status;late_delivery_risk;category id;category name;customer city;customer country;customer email;customer fname;customer id;customer lname;customer password;customer segment;customer state;customer street;customer zipcode;department id;department name;latitude;longitude;market;order city;order country;order customer id;order date (dateorders);order id;order item cardprod id;order item discount;order item discount rate;order item id;order item product price;order item profit ratio;order item quantity;sales;order item total;order profit per order;order region;order state;order status;order zipcode;product card id;product category id;product description;product image;product name;product price;product status;shipping date (dateorders);shipping mode
Cardinalities;Num rows;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 511,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 516,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;24 840,0000;180 519,0000;180 519,0000;0,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000;180 519,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,0000;0,0000;0,0000;0,0000;0,0000;3,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;155 679,0000;0,0000;0,0000;180 519,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;6,2673;0,0000;0,0000;∞;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;4,0000;7,0000;4,0000;21 998,0000;2 927,0000;3,0000;2,0000;51,0000;17,0000;18,0000;2,0000;1,0000;10,0000;20 652,0000;11,0000;1,0000;3,0000;2,0000;24,0000;995,0000;11,0000;6,0000;11 250,0000;4 487,0000;4,0000;29,0000;20,0000;20 652,0000;4,0000;65 752,0000;118,0000;1 017,0000;18,0000;180 519,0000;75,0000;162,0000;5,0000;193,0000;2 927,0000;21 998,0000;9,0000;31,0000;6,0000;2,0000;118,0000;51,0000;0,0000;46,0000;35,0000;75,0000;1,0000;4,0000;4,0000
Cardinalities;Uniqueness;0,0022;0,0039;0,0022;12,1860;1,6214;0,0017;0,0011;0,0283;0,0094;0,0100;0,0011;0,0006;0,0055;11,4403;0,0061;0,0006;0,0017;0,0011;0,0133;0,5512;0,0061;0,0033;6,2320;2,4856;0,0022;0,0161;0,0111;11,4403;0,0022;36,4239;0,0654;0,5634;0,0100;100,0000;0,0415;0,0897;0,0028;0,1069;1,6214;12,1860;0,0050;0,0172;0,0033;0,0081;0,0654;0,0283;NaN;0,0255;0,0194;0,0415;0,0006;0,0022;0,0022
Data type info;Data type;String;Numeric;Numeric;Numeric;Numeric;String;Numeric;Numeric;String;String;String;String;String;Numeric;String;String;String;String;String;Numeric;Numeric;String;Numeric;Numeric;String;String;String;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;String;String;String;String;Numeric;Numeric;String;String;String;Numeric;Numeric;String;String
Data type info;Minimum;4,0000;0,0000;0,0000;-4 274,9800;7,4900;13,0000;0,0000;2,0000;4,0000;2,0000;7,0000;9,0000;2,0000;1,0000;2,0000;9,0000;8,0000;2,0000;8,0000;603,0000;2,0000;4,0000;-33,9376;-158,0260;4,0000;2,0000;4,0000;1,0000;13,0000;1,0000;19,0000;0,0000;0,0000;1,0000;9,9900;-2,7500;1,0000;9,9900;7,4900;-4 274,9800;6,0000;3,0000;6,0000;4,0000;19,0000;2,0000;;36,0000;5,0000;9,9900;0,0000;13,0000;8,0000
Data type info;Maximum;8,0000;6,0000;4,0000;911,8000;1 939,9900;17,0000;1,0000;76,0000;20,0000;20,0000;11,0000;9,0000;11,0000;20 757,0000;12,0000;9,0000;11,0000;5,0000;33,0000;99 205,0000;12,0000;18,0000;48,7819;115,2631;12,0000;35,0000;31,0000;20 757,0000;16,0000;77 204,0000;1 363,0000;500,0000;0,2500;180 519,0000;1 999,9900;0,5000;5,0000;1 999,9900;1 939,9900;911,8000;15,0000;36,0000;15,0000;5,0000;1 363,0000;76,0000;;94,0000;45,0000;1 999,9900;0,0000;16,0000;14,0000
Data type info;Average;6,0000;3,0000;2,0000;21,9750;183,1076;14,0000;0,0000;31,0000;12,0000;7,0000;8,0000;9,0000;5,0000;6 691,0000;5,0000;9,0000;8,0000;2,0000;19,0000;35 921,0000;5,0000;7,0000;29,7200;-84,9157;6,0000;8,0000;8,0000;6 691,0000;14,0000;36 221,0000;692,0000;20,6647;0,1017;90 260,0000;141,2325;0,1206;2,0000;203,7721;183,1076;21,9750;12,0000;10,0000;9,0000;4,0000;692,0000;31,0000;;69,0000;35,0000;141,2325;0,0000;14,0000;12,0000
Data type info;Median;7,0000;3,0000;4,0000;31,5200;163,9900;13,0000;1,0000;29,0000;14,0000;7,0000;7,0000;9,0000;5,0000;6 457,0000;5,0000;9,0000;8,0000;2,0000;20,0000;19 380,0000;5,0000;8,0000;33,1449;-76,8479;6,0000;8,0000;8,0000;6 457,0000;15,0000;36 140,0000;627,0000;14,0000;0,1000;90 260,0000;59,9900;0,2700;1,0000;199,9200;163,9900;31,5200;14,0000;9,0000;8,0000;5,0000;627,0000;29,0000;;70,0000;36,0000;59,9900;0,0000;15,0000;14,0000
Data type info;# Digits;0,0000;1,0000;1,0000;4,0000;4,0000;0,0000;1,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,0000;2,0000;0,0000;2,0000;3,0000;0,0000;0,0000;0,0000;5,0000;0,0000;5,0000;4,0000;3,0000;0,0000;6,0000;4,0000;1,0000;1,0000;4,0000;4,0000;4,0000;0,0000;0,0000;0,0000;0,0000;4,0000;2,0000;0,0000;0,0000;0,0000;4,0000;0,0000;0,0000;0,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;9,0000;9,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,0000;8,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0000;9,0000;0,0000;9,0000;9,0000;0,0000;9,0000;9,0000;9,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0000;0,0000;0,0000;0,0000
Histogram;Number of classes;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000;16,0000;19,0000;19,0000;-2 147 483 648,0000;19,0000;19,0000;19,0000;19,0000;19,0000;19,0000
Histogram;Class range;0,2105;0,3158;0,2105;272,9884;101,7105;0,2105;0,0526;3,8947;0,8421;0,9474;0,2105;0,0000;0,4737;1 092,4211;0,5263;0,0000;0,1579;0,1579;1,3158;5 189,5789;0,5263;0,7368;4,3537;14,3836;0,4211;1,7368;1,4211;1 092,4211;0,1579;4 063,3158;70,7368;26,3158;0,0132;9 500,9474;104,7368;0,1711;0,2105;104,7368;101,7105;272,9884;0,4737;1,7368;0,4737;0,0625;70,7368;3,8947;;3,0526;2,1053;104,7368;0,0000;0,1579;0,3158
