Category;Metric;jurisdiction name;count participants;count female;percent female;count male;percent male;count gender unknown;percent gender unknown;count gender total;percent gender total;count pacific islander;percent pacific islander;count hispanic latino;percent hispanic latino;count american indian;percent american indian;count asian non hispanic;percent asian non hispanic;count white non hispanic;percent white non hispanic;count black non hispanic;percent black non hispanic;count other ethnicity;percent other ethnicity;count ethnicity unknown;percent ethnicity unknown;count ethnicity total;percent ethnicity total;count permanent resident alien;percent permanent resident alien;count us citizen;percent us citizen;count other citizen status;percent other citizen status;count citizen status unknown;percent citizen status unknown;count citizen status total;percent citizen status total;count receives public assistance;percent receives public assistance;count nreceives public assistance;percent nreceives public assistance;count public assistance unknown;percent public assistance unknown;count public assistance total;percent public assistance total
Cardinalities;Num rows;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000;236,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;236,0000;53,0000;44,0000;52,0000;40,0000;51,0000;1,0000;1,0000;53,0000;2,0000;3,0000;4,0000;21,0000;35,0000;3,0000;5,0000;10,0000;17,0000;37,0000;37,0000;22,0000;37,0000;10,0000;20,0000;5,0000;8,0000;53,0000;3,0000;8,0000;19,0000;56,0000;19,0000;3,0000;7,0000;1,0000;1,0000;53,0000;3,0000;33,0000;50,0000;52,0000;50,0000;1,0000;1,0000;53,0000;2,0000
Cardinalities;Uniqueness;100,0000;22,4576;18,6441;22,0339;16,9492;21,6102;0,4237;0,4237;22,4576;0,8475;1,2712;1,6949;8,8983;14,8305;1,2712;2,1186;4,2373;7,2034;15,6780;15,6780;9,3220;15,6780;4,2373;8,4746;2,1186;3,3898;22,4576;1,2712;3,3898;8,0508;23,7288;8,0508;1,2712;2,9661;0,4237;0,4237;22,4576;1,2712;13,9831;21,1864;22,0339;21,1864;0,4237;0,4237;22,4576;0,8475
Data type info;Data type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Minimum;10 001,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Data type info;Maximum;20 459,0000;272,0000;194,0000;1,0000;157,0000;1,0000;0,0000;0,0000;272,0000;100,0000;2,0000;0,0200;51,0000;1,0000;2,0000;0,2000;28,0000;1,0000;262,0000;1,0000;60,0000;1,0000;17,0000;0,5000;5,0000;0,2500;272,0000;100,0000;10,0000;1,0000;271,0000;1,0000;2,0000;0,3300;0,0000;0,0000;272,0000;100,0000;155,0000;1,0000;206,0000;1,0000;0,0000;0,0000;272,0000;100,0000
Data type info;Average;11 127,0000;17,0000;10,0000;0,2440;7,0000;0,2010;0,0000;0,0000;17,0000;44,0000;0,0000;0,0003;1,0000;0,0798;0,0000;0,0010;0,0000;0,0566;12,0000;0,1778;2,0000;0,1042;0,0000;0,0213;0,0000;0,0039;17,0000;44,0000;0,0000;0,0242;17,0000;0,4187;0,0000;0,0021;0,0000;0,0000;17,0000;44,0000;5,0000;0,1392;11,0000;0,3058;0,0000;0,0000;17,0000;44,0000
Data type info;Median;11 217,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
