Category;Metric;id;project code;pq #;po / so #;asn/dn #;country;managed by;fulfill via;vendor inco term;shipment mode;pq first sent to client date;po sent to vendor date;scheduled delivery date;delivered to client date;delivery recorded date;product group;sub classification;vendor;item description;molecule/test type;brand;dosage;dosage form;unit of measure (per pack);line item quantity;line item value;pack price;unit price;manufacturing site;first line designation;weight (kilograms);freight cost (usd);line item insurance (usd)
Cardinalities;# Rows;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;9 964,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 324,0000;10 319,0000;10 323,0000;10 104,0000;9 477,0000;10 169,0000;10 119,0000;10 280,0000;10 228,0000;10 259,0000;10 226,0000;10 324,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;360,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,0000;1,0000;220,0000;847,0000;155,0000;205,0000;44,0000;96,0000;65,0000;98,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0361;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0005;0,0001;0,0218;0,0894;0,0152;0,0203;0,0043;0,0094;0,0063;0,0096;0,0000
Cardinalities;Cardinality;10 324,0000;1,0000;3,0000;5,0000;6,0000;11,0000;5,0000;2,0000;4,0000;4,0000;7,0000;5,0000;3,0000;2,0000;2,0000;4,0000;7,0000;40,0000;46,0000;40,0000;30,0000;31,0000;32,0000;29,0000;27,0000;23,0000;17,0000;16,0000;15,0000;11,0000;27,0000;30,0000;27,0000
Cardinalities;Uniqueness;100,0000;0,0097;0,0291;0,0484;0,0581;0,1065;0,0484;0,0194;0,0387;0,0401;0,0678;0,0484;0,0291;0,0194;0,0194;0,0387;0,0678;0,3874;0,4456;0,3874;0,2906;0,3003;0,3101;0,2809;0,2672;0,2427;0,1672;0,1581;0,1459;0,1075;0,2632;0,2934;0,2615
Data type info;Data type;Numeric;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String;String
Data type info;Minimum;1,0000;10,0000;8,0000;6,0000;4,0000;4,0000;4,0000;8,0000;3,0000;3,0000;3,0000;8,0000;8,0000;8,0000;8,0000;3,0000;3,0000;5,0000;3,0000;3,0000;4,0000;3,0000;5,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000
Data type info;Maximum;86 823,0000;10,0000;14,0000;11,0000;9,0000;18,0000;25,0000;11,0000;14,0000;14,0000;17,0000;17,0000;14,0000;9,0000;9,0000;9,0000;20,0000;65,0000;77,0000;64,0000;50,0000;53,0000;50,0000;37,0000;34,0000;34,0000;24,0000;36,0000;37,0000;23,0000;36,0000;36,0000;34,0000
Data type info;Average;51 098,0000;10,0000;9,0000;9,0000;7,0000;8,0000;7,0000;9,0000;8,0000;4,0000;10,0000;11,0000;8,0000;8,0000;8,0000;3,0000;6,0000;17,0000;24,0000;10,0000;9,0000;17,0000;8,0000;8,0000;9,0000;4,0000;4,0000;5,0000;4,0000;4,0000;14,0000;7,0000;7,0000
Data type info;Median;57 541,0000;10,0000;9,0000;8,0000;7,0000;7,0000;8,0000;8,0000;14,0000;3,0000;9,0000;14,0000;9,0000;9,0000;9,0000;3,0000;5,0000;13,0000;16,0000;8,0000;8,0000;10,0000;7,0000;7,0000;7,0000;2,0000;4,0000;6,0000;4,0000;4,0000;18,0000;6,0000;5,0000
Data type info;# Digits;5,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Histogram;# Classes;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000;15,0000
Histogram;Class range;5 788,1333;0,0000;0,4000;0,3333;0,3333;0,9333;1,4000;0,2000;0,7333;0,7333;0,9333;0,6000;0,4000;0,0667;0,0667;0,4000;1,1333;4,0000;4,9333;4,0667;3,0667;3,3333;3,0000;2,3333;2,1333;2,2000;1,5333;2,3333;2,4000;1,4667;2,3333;2,3333;2,2000
Histogram;Values;[298, 341, 3820, 342, 344, 580, 315, 312, 1185, 327, 319, 332, 323, 1163, 323];[0, 10324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 2681, 0, 0, 4013, 3630, 0, 0, 0, 0, 0];[0, 0, 0, 594, 0, 0, 472, 2920, 0, 0, 4495, 1843, 0, 0, 0];[0, 0, 5, 0, 0, 90, 0, 0, 0, 0, 1093, 4406, 3033, 0, 1697];[20, 50, 1412, 0, 0, 1083, 0, 2096, 1224, 1433, 2152, 167, 52, 635, 0];[0, 1, 9932, 0, 333, 57, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 5524, 0, 0, 0, 4800, 0];[0, 0, 4800, 0, 0, 0, 0, 0, 0, 0, 5191, 213, 0, 0, 120];[0, 0, 213, 0, 0, 0, 0, 5902, 0, 0, 0, 0, 0, 650, 3199];[2476, 1411, 0, 0, 0, 2, 1306, 0, 0, 0, 0, 331, 4593, 205, 0];[0, 3185, 0, 0, 0, 750, 0, 0, 870, 328, 0, 0, 0, 0, 5191];[0, 0, 0, 0, 0, 2483, 0, 0, 0, 0, 7628, 213, 0, 0, 0];[2886, 0, 0, 0, 0, 7438, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 2952, 0, 0, 0, 0, 0, 0, 7372, 0, 0, 0, 0, 0];[0, 1664, 0, 0, 0, 285, 0, 0, 0, 48, 0, 0, 0, 8327, 0];[0, 0, 0, 1484, 0, 1882, 0, 6429, 0, 156, 0, 349, 24, 0, 0];[2, 77, 985, 74, 339, 25, 771, 85, 63, 6057, 245, 1271, 317, 3, 10];[197, 639, 3475, 0, 1569, 1031, 1208, 494, 529, 182, 123, 572, 16, 289, 0];[711, 0, 103, 29, 11, 639, 329, 26, 38, 0, 6685, 68, 1340, 336, 9];[42, 7720, 478, 1133, 0, 107, 0, 93, 198, 531, 0, 5, 11, 6, 0];[196, 844, 420, 30, 289, 250, 1005, 3394, 0, 0, 0, 343, 216, 2456, 881];[1629, 78, 11, 5, 7958, 59, 0, 5, 347, 10, 39, 8, 42, 64, 64];[3647, 7, 16, 1601, 2, 1, 2286, 16, 331, 2, 473, 495, 93, 1305, 48];[0, 284, 15, 101, 2685, 811, 1872, 165, 7, 8, 163, 162, 149, 3619, 63];[29, 14, 1, 398, 0, 55, 107, 0, 425, 7345, 344, 0, 13, 746, 0];[0, 121, 1, 506, 34, 34, 1050, 23, 0, 4554, 947, 14, 190, 2695, 0];[1861, 0, 26, 42, 0, 1, 0, 2846, 2882, 4, 0, 0, 0, 3, 2454];[7001, 69, 0, 2095, 0, 0, 1009, 0, 0, 4, 15, 0, 1, 22, 64];[452, 135, 0, 6, 374, 0, 8212, 36, 0, 0, 0, 64, 0, 949, 0];[119, 692, 15, 1375, 27, 1195, 88, 9, 1432, 29, 2698, 2118, 0, 443, 19];[0, 1005, 89, 621, 777, 3954, 66, 202, 3, 2908, 115, 128, 65, 42, 251];[71, 45, 279, 9, 50, 693, 1449, 439, 2, 3, 2003, 390, 197, 4667, 27]
Dependencies;isCandidateKey;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
